full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
Judy Chu,,healthcare,1,"Founding member of the Medicare for All Caucus and original cosponsor of the Medicare for All Act in every Congress since its inception (H.R. 1384 in the 116th, H.R. 1976 in the 117th, H.R. 3421 in the 118th, H.R. 3069 in the 119th). Has stated 'Healthcare is a human right'  and called for making Medicare available to all Americans.",https://chu.house.gov/media-center/press-releases/rep-chu-statement-launch-medicare-all-congressional-caucus,https://www.congress.gov/bill/118th-congress/house-bill/3421/cosponsors,https://chu.house.gov/issues/health-care
Judy Chu,,abortion,1,"Lead sponsor of the Women's Health Protection Act since 2013, which would create a federal right to abortion free from medically unnecessary restrictions.  Also cosponsors the EACH Act to repeal the Hyde Amendment and enable federal funding for abortion care.  Has called abortion 'a fundamental human right.'",https://chu.house.gov/media-center/press-releases/reps-chu-frankel-pressley-and-escobar-reintroduce-womens-health,https://chu.house.gov/issues/womens-rights,
Judy Chu,,tariffs,2,"Applauded the Supreme Court's 2025 decision striking down Trump's tariffs, calling them 'reckless' and 'a massive tax increase on American families and small businesses.' As a Ways and Means Committee member  with trade jurisdiction,  she supports targeted trade sanctions (e.g. on Russia) but opposes broad protectionist tariffs.",https://chu.house.gov/media-center/press-releases/rep-chu-applauds-supreme-court-decision-striking-down-trumps-tariffs,https://chu.house.gov/issues/foreign-policy,
Judy Chu,,taxes,1,"Called the 2025 GOP tax bill a 'tax scam' that 'prioritizes the ultra-wealthy at the expense of working families.'  Introduced the End Tax Breaks for Dark Money Act, led efforts demanding IRS funding to 'pursue wealthy tax cheats,'  and cosponsored the Social Security Expansion Act requiring millionaires and billionaires to pay their fair share by lifting the income cap.",https://chu.house.gov/media-center/press-releases/rep-chu-statement-gop-tax-scam-20,https://chu.house.gov/media-center/press-releases/rep-chu-sen-whitehouse-introduce-legislation-ending-billionaires-tax,
Judy Chu,,same-sex-marriage,1,"Cosponsored the Respect for Marriage Act (signed into law 2022) repealing DOMA and requiring states to recognize same-sex marriages. Introduced the PRIDE Act (H.R. 4326, 2023; reintroduced 2025) to update tax code language to be gender-neutral and retroactively provide tax refunds to same-sex couples.  Serves as Vice Chair of the House Equality Caucus.", https://chu.house.gov/issues/civil-and-voting-rights,https://chu.house.gov/media-center/press-releases/10th-anniversary-windsor-decision-reps-chu-and-balint-introduce-pride,
Judy Chu,,religious-freedom,2,"Original cosponsor of the Equality Act, which amends the Civil Rights Act to prohibit discrimination based on sexual orientation and gender identity  and explicitly limits the Religious Freedom Restoration Act from overriding its anti-discrimination protections.  Stated discrimination against LGBTQ individuals 'is completely unjustifiable and cannot be tolerated.'", https://chu.house.gov/media-center/press-releases/rep-chu-votes-pass-equality-act,https://chu.house.gov/media-center/press-releases/rep-chu-statement-introduction-equality-act,
Judy Chu,,trans-athletes,1,"Cosponsored the Equality Act which prohibits discrimination based on gender identity in education including sports. Explicitly stated 'Discrimination against LGBTQ individuals in where they can live, work, or eat, how they must go to the bathroom, what sports they can play and more is completely unjustifiable.'  Also cosponsored the Trans Bill of Rights (2026).", https://chu.house.gov/media-center/press-releases/rep-chu-votes-pass-equality-act,https://chu.house.gov/issues/civil-and-voting-rights,
Judy Chu,,ukraine-support,2,"Voted for Ukraine aid (H.R. 8035) on April 20, 2024, stating 'Ukraine can finally receive economic and civilian security assistance and access to the munitions and weapons it has desperately needed.'  Has consistently voted to support Ukraine and send along humanitarian and military assistance,  and supported trade sanctions on Russia.",https://chu.house.gov/media-center/press-releases/rep-chu-votes-ukraine-indo-pacific-aid-against-israel-aid,https://chu.house.gov/issues/foreign-policy,
Judy Chu,,medicare,1,"Founding member of the Medicare for All Caucus and original cosponsor of the Medicare for All Act in every Congress. Opposes Republican efforts to 'cut or privatize Medicare by automatically enrolling seniors in Medicare Advantage.'  Supports expanding Medicare to cover vision, hearing, and dental,  and hosted a 'Medicaid Day of Action Town Hall' in 2025 opposing proposed cuts.",https://chu.house.gov/issues/seniors,https://chu.house.gov/issues/health-care,https://www.congress.gov/bill/119th-congress/house-bill/3069/cosponsors
Judy Chu,,fossil-fuels,2,"States 'I am working to end our reliance on fossil fuels.'  Co-introduced the Polluters Pay Climate Fund Act (2024, reintroduced 2025) requiring fossil fuel companies to pay $100 billion/year into a climate fund.  Voted against the GOP's Lower Energy Costs Act which would expand drilling on public lands. Member of the Congressional Sustainable Energy and Environment Coalition.", https://chu.house.gov/issues/energy,https://www.vanhollen.senate.gov/news/press-releases/van-hollen-nadler-chu-introduce-legislation-to-make-polluters-pay-for-fueling-climate-change,
