full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
Derek Tran,,healthcare,2,"Co-led the bipartisan PBM Reform Act to lower drug costs (passed House Feb 2026). Cosponsored H.R. 4849 to restore Medicaid funding and extend ACA tax credits. Voted against GOP budget cutting Medicaid. Stated healthcare 'should be a right' and advocates expanding Medicare access but has not endorsed single-payer Medicare for All.",https://tran.house.gov/media/press-releases/rep-derek-tran-releases-statement-passage-gop-budget-will-gut-health-care,https://meetthefreshmen.marathonstrategies.com/meet-the-freshmen/1146/derek-tran/,
Derek Tran,,abortion,2,"Self-described '100% pro-choice.' Cosponsored H.R. 12 (Women's Health Protection Act of 2025) to codify abortion rights. Voted against two bills in Jan 2026 restricting reproductive healthcare. Endorsed by Reproductive Freedom for All. Supports IVF access and Planned Parenthood funding. Aligns with pre-Dobbs viability framework but has not advocated publicly funded abortion at all stages.",https://www.congress.gov/bill/119th-congress/house-bill/12/text,https://tran.house.gov/media/press-releases/icymi-representative-tran-votes-protect-womens-choice-health-care,https://calmatters.org/politics/elections/2024/10/california-abortion-election-congress/
Derek Tran,,tariffs,3,"Wrote in OC Register op-ed (Aug 2025): 'Tariffs can be an important tool to level the economic playing field and even bolster national security but tariffs imposed without clear objectives impose a tax on working families.' Introduced the Toll of Tariffs Act and Baby Food Tax Relief Act. Supports strategic tariffs against China but opposes indiscriminate tariffs.",https://www.ocregister.com/2025/08/31/derek-tran-americans-deserve-to-know-the-true-toll-of-tariffs/,,
Derek Tran,,taxes,2,"Advocates cutting taxes for middle-class families while ending 'tax breaks to corporate donors and special interests.' Supports restoring the SALT deduction arguing the TCJA cap 'has unfairly burdened middle-class families in high-cost states.' Voted against GOP budget he said gives 'tax breaks to the ultra-wealthy' while cutting services. Supports expanding the Low-Income Housing Tax Credit.",https://tran.house.gov/media/press-releases/rep-derek-tran-releases-statement-passage-gop-budget-will-gut-health-care,https://meetthefreshmen.marathonstrategies.com/meet-the-freshmen/1146/derek-tran/,
Derek Tran,,same-sex-marriage,1,"Pledged to 'oppose efforts to discriminate against LGBTQ+ Americans.' Campaign explicitly states he will 'fight back against extremists who want to discriminate against LGBTQ+ communities.' Supports the framework of the Respect for Marriage Act requiring full federal recognition and benefits for same-sex marriages.",https://www.derektranforcongress.com/,https://meetthefreshmen.marathonstrategies.com/meet-the-freshmen/1146/derek-tran/,
Derek Tran,,ukraine-support,2,"Stated he would 'honor America's commitment to support its allies including supplemental emergency aid to Israel and Ukraine.' Co-leads the Democratic Party's congressional National Security Task Force (May 2025). Serves on House Armed Services Committee. As a veteran and son of Vietnamese refugees who fled communism he has consistently spoken about standing firm against authoritarian regimes.",https://meetthefreshmen.marathonstrategies.com/meet-the-freshmen/1146/derek-tran/,,
Derek Tran,,medicare,2,"Works to 'expand Medicare so that everyone has access to quality affordable health care.' Co-led the PBM Reform Act (passed House Feb 2026) to lower prescription drug prices. Cosponsored H.R. 4849 to restore Medicaid funding. Voted against GOP budget cutting Medicare/Medicaid. Supports Medicare drug price negotiation but has not endorsed Medicare for All.",https://tran.house.gov/media/press-releases/rep-derek-tran-releases-statement-passage-gop-budget-will-gut-health-care,https://meetthefreshmen.marathonstrategies.com/meet-the-freshmen/1146/derek-tran/,
Derek Tran,,fossil-fuels,2,"Cosponsored multiple bills restricting offshore drilling: H.R. 2849 (West Coast Protection Act) H.R. 2882 (Central Coast Conservation Act) H.R. 2862 (Southern CA Coast Protection Act) and H.R. 2820 (California Clean Coast Act). Voted against SPEED Act weakening NEPA protections. Refuses fossil fuel industry donations. Calls for 'reducing dependence on fossil fuel.'",https://tran.house.gov/media/press-releases/representative-tran-rejects-legislation-dismantle-federal-environmental,https://www.lcv.org/bio/derek-tran/,
Derek Tran,,voting-rights,2,"Pledged to 'strengthen voting rights for every American and defend our free and fair elections.' Supports passing federal voting rights legislation. Rated as supporting 'Easier' voting access in nonpartisan comparison with opponent. Emphasizes defending elections from those 'who want to overturn our democracy.'",https://justfacts.votesmart.org/candidate/political-courage-test/213645/derek-tran/,,
Derek Tran,,deportation,3,"Opposes mass deportations calling them 'inhumane' and 'impractical.' Supports pathways to citizenship for Dreamers farmworkers and TPS holders. However voted FOR the Laken Riley Act (one of 46 House Democrats) stating: 'when you commit a crime you should be deported.' Also voted for Preventing Violence Against Women by Illegal Aliens Act. Later introduced ICE transparency and accountability legislation.",https://www.newsweek.com/democrat-derek-tran-grilled-laken-riley-act-support-2058359,https://tran.house.gov/media/in-the-news/california-democrats-who-voted-laken-riley-act,
